
2021-01-19T21:08:57.872235,16,oximeter,persisted
2021-01-19T21:08:58.072307,16,oximeter,persisted
2021-01-19T21:08:58.272419,16,oximeter,persisted
2021-01-19T21:08:58.472596,16,oximeter,persisted
2021-01-19T21:08:58.672618,16,oximeter,persisted
2021-01-19T21:08:58.872726,16,oximeter,persisted
2021-01-19T21:08:59.072835,16,oximeter,persisted
2021-01-19T21:08:59.272858,16,oximeter,persisted
2021-01-19T21:08:59.472887,16,oximeter,persisted
2021-01-19T21:08:59.673130,16,oximeter,persisted
2021-01-19T21:08:59.873257,16,oximeter,persisted
2021-01-19T21:09:00.073324,16,oximeter,persisted
2021-01-19T21:09:00.273474,16,oximeter,persisted
2021-01-19T21:09:00.473312,16,oximeter,persisted
2021-01-19T21:09:00.673443,16,oximeter,persisted
2021-01-19T21:09:00.873713,16,oximeter,persisted
2021-01-19T21:09:01.073849,16,oximeter,persisted
2021-01-19T21:09:01.273918,16,oximeter,persisted
2021-01-19T21:09:01.474095,16,oximeter,persisted
2021-01-19T21:09:01.674044,16,oximeter,persisted
2021-01-19T21:09:01.874030,16,oximeter,persisted
2021-01-19T21:09:02.074116,16,oximeter,persisted
2021-01-19T21:09:02.274155,16,oximeter,persisted
2021-01-19T21:09:02.474193,16,oximeter,persisted
2021-01-19T21:09:02.674428,16,oximeter,persisted
2021-01-19T21:09:02.874550,16,oximeter,persisted
2021-01-19T21:09:03.074477,16,oximeter,persisted
2021-01-19T21:09:03.274523,16,oximeter,persisted
2021-01-19T21:09:03.474623,16,oximeter,persisted
2021-01-19T21:09:03.674754,16,oximeter,persisted
2021-01-19T21:09:03.875027,16,oximeter,persisted
2021-01-19T21:09:04.074945,16,oximeter,persisted
2021-01-19T21:09:04.274994,16,oximeter,persisted
2021-01-19T21:09:04.475098,16,oximeter,persisted
2021-01-19T21:09:04.675568,16,oximeter,persisted
2021-01-19T21:09:04.875227,16,oximeter,persisted
2021-01-19T21:09:05.075305,16,oximeter,persisted
2021-01-19T21:09:05.275381,16,oximeter,persisted
2021-01-19T21:09:05.475548,16,oximeter,persisted
2021-01-19T21:09:05.675577,16,oximeter,persisted
2021-01-19T21:09:05.875456,17,thermometer,processed
2021-01-19T21:09:05.875456,17,thermometer,processed
2021-01-19T21:09:05.875686,17,thermometer,detected
2021-01-19T21:09:05.875987,17,thermometer,persisted
2021-01-19T21:09:06.075748,17,thermometer,persisted
2021-01-19T21:09:06.276030,17,thermometer,persisted
2021-01-19T21:09:06.475991,17,thermometer,persisted
2021-01-19T21:09:06.676020,17,thermometer,persisted
2021-01-19T21:09:06.875871,18,thermometer,processed
2021-01-19T21:09:06.875871,18,thermometer,processed
2021-01-19T21:09:06.876074,18,thermometer,detected
2021-01-19T21:09:06.876386,18,thermometer,persisted
2021-01-19T21:09:07.076046,18,thermometer,persisted
2021-01-19T21:09:07.276256,18,thermometer,persisted
2021-01-19T21:09:07.476157,19,ecg,processed
2021-01-19T21:09:07.476157,19,ecg,processed
2021-01-19T21:09:07.476340,19,ecg,detected
2021-01-19T21:09:07.476724,19,ecg,persisted
2021-01-19T21:09:07.676418,19,ecg,persisted
2021-01-19T21:09:07.876547,19,ecg,persisted
2021-01-19T21:09:08.076587,19,ecg,persisted
2021-01-19T21:09:08.276495,20,oximeter,processed
2021-01-19T21:09:08.276495,20,oximeter,processed
